System ID,UPC,EAN,Custom SKU,Manufact. SKU,Item,Vendor ID,Qty.,Price,Tax,Brand,Publish to eCom,Season,Department,MSRP,Tax Class,Default Cost,Vendor,Category,Subcategory 1,Subcategory 2,Subcategory 3,Subcategory 4,Subcategory 5,Subcategory 6,Subcategory 7,Subcategory 8,Subcategory 9
2.1E+11,8.10059E+11,2.1E+11,,,Focus V Carta 2 Replacement Glass Clear,,2,$69.99 ,Yes,FOCUS V,Yes,,,69.99,Item,35.01,BOB HQ,Cannabis Accessories,Glass Accessories,,,,,,,,
2.1E+11,,2.1E+11,,,"Arsenal Glass 5"" 14mm Ray Gun Glass Bong Smoke",,1,$76.99 ,Yes,Smoke Arsenal,Yes,,,76.99,Item,41.62,Smoke Arsenal,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,,2.1E+11,,,"Arsenal Glass 24"" Thunderstrike Frosted Glass Bong Black",,0,$129.99 ,Yes,Smoke Arsenal,Yes,,,129.99,Item,70,Smoke Arsenal,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,,2.1E+11,,,"Arsenal Glass 24"" Thunderstrike Frosted Glass Bong Blue",,0,$129.99 ,Yes,Smoke Arsenal,Yes,,,129.99,Item,70,Smoke Arsenal,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,,2.1E+11,,,"Arsenal Glass 24"" Thunderstrike Frosted Glass Bong Green",,0,$129.99 ,Yes,Smoke Arsenal,Yes,,,129.99,Item,70,Smoke Arsenal,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,,2.1E+11,,,"Arsenal Glass 24"" Thunderstrike Frosted Glass Bong Pink",,0,$129.99 ,Yes,Smoke Arsenal,Yes,,,129.99,Item,70,Smoke Arsenal,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,,2.1E+11,,,"Arsenal Glass 24"" Thunderstrike Frosted Glass Bong Red",,0,$129.99 ,Yes,Smoke Arsenal,Yes,,,129.99,Item,70,Smoke Arsenal,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,,2.1E+11,,,"Arsenal Glass 24"" Thunderstrike Frosted Glass Bong Yellow",,1,$129.99 ,Yes,Smoke Arsenal,Yes,,,129.99,Item,70,Smoke Arsenal,Cannabis Accessories,Bongs/Bubblers,,,,,,,,
2.1E+11,,2.1E+11,,69020136663,Arsenal Binoo-S Variable Voltage 510 Battery  Red & Black,,1,$24.99 ,Yes,Smoke Arsenal,Yes,,,24.99,Item,13.49,Smoke Arsenal,Cannabis Accessories,Vaporizers,,,,,,,,
2.1E+11,,2.1E+11,,6.41962E+11,Arsenal Binoo-S Variable Voltage 510 Battery  Sky Blue,BINOO-S 510 SB,0,$24.99 ,Yes,Smoke Arsenal,Yes,,,24.99,Item,13.49,Smoke Arsenal,Cannabis Accessories,Vaporizers,,,,,,,,
2.1E+11,,2.1E+11,,,Arsenal Binoo-S Variable Voltage 510 Battery  Pink & Yellow,BINOO-S 510 PI,0,$24.99 ,Yes,Smoke Arsenal,Yes,,,24.99,Item,14.24,Smoke Arsenal,Cannabis Accessories,Vaporizers,,,,,,,,
2.1E+11,8.50059E+11,2.1E+11,,8.50059E+11,Smyle Labs Ray Gun Penjamin 510 Variable Voltage Battery Red,,19,$49.99 ,Yes,Smyle Labs,Yes,,,49.99,Item,25.19,Smoke Arsenal,Cannabis Accessories,Vaporizers,,,,,,,,
2.1E+11,,2.1E+11,,,Clipper Refillable Lighter Tie Dye Design,,12,$2.39 ,Yes,Clipper,Yes,,,2.39,Item,1.15,Smoke Arsenal,Cannabis Accessories,Lighters / Torches,,,,,,,,
2.1E+11,,2.1E+11,,,Clipper Refillable Lighter Skull Fire Design,,0,$2.39 ,Yes,Clipper,Yes,,,2.39,Item,1.15,Smoke Arsenal,Cannabis Accessories,Lighters / Torches,,,,,,,,
2.1E+11,,2.1E+11,,,Clipper Refillable Lighter Black & White Skulls Design,,0,$2.39 ,Yes,Clipper,Yes,,,2.39,Item,1.15,Smoke Arsenal,Cannabis Accessories,Lighters / Torches,,,,,,,,
